NOTE,id,Moy_Pontage_de_fissures,Moy_Comblage_de_trou_ou_Projection_d_enrobe,Moy_Longitudinale,Moy_Transversale,Moy_Nid_de_poule,Moy_Faiencage,Moy_Arrachement_pelade,Moy_Remblaiement_de_tranchees
10.0,D10_PR97_400_PR97_554,0.0,0.0,0.014430000000000002,0.0,0.0,0.0,0.047799400000000006,0.0162338
10.0,D10_PR98_0_PR98_200,0.0,0.0,0.0701388,0.0125,0.0,0.01875,0.09027769999999999,0.0
9.82,D10_PR98_200_PR98_400,0.0,0.00625,0.0611111,0.01875,0.0,0.00625,0.129167,0.00625
8.36,D10_PR98_400_PR98_600,0.0,0.00625,0.19236099999999998,0.00625,0.0,0.0,0.0854167,0.05
6.665,D10_PR98_600_PR98_800,0.0,0.0,0.23125,0.05,0.0,0.0,0.0375,0.125
7.210260000000001,D10_PR98_800_PR98_995,0.0,0.00641026,0.55057,0.274217,0.0,0.00641026,0.048433,0.031339
9.7,D10_PR99_0_PR99_200,0.0,0.029861099999999998,0.157639,0.109722,0.0,0.0,0.09513880000000001,0.0722222
6.88,D10_PR99_200_PR99_400,0.0,0.0,0.190278,0.11180599999999999,0.0,0.0111111,0.054861099999999996,0.0402777
3.91,D10_PR99_400_PR99_600,0.0,0.0,0.861806,0.342361,0.0,0.108333,0.06875,0.05
7.675,D10_PR99_600_PR99_800,0.0,0.01875,0.43125,0.138889,0.0,0.01875,0.11458299999999999,0.0847222
9.97688,D10_PR99_800_PR99_973,0.0144509,0.0,0.0,0.00722543,0.0,0.0,0.10838199999999999,0.0955363
6.995,D10_PR100_0_PR100_200,0.0,0.0,0.142361,0.0361111,0.0,0.0,0.05,0.0
9.41,D10_PR100_200_PR100_400,0.0,0.00625,0.0,0.0243055,0.0,0.0,0.120833,0.0805556
10.0,D10_PR100_400_PR100_600,0.0,0.0,0.00625,0.0493055,0.0,0.0,0.0625,0.0
10.0,D10_PR100_600_PR100_800,0.0,0.0,0.01875,0.0,0.0,0.0,0.018055599999999998,0.0
