NOTE,id,Moy_Pontage,Moy_Comblage,Moy_Longitudinale,Moy_Transversale,Moy_Nid_de_poule,Moy_Faiencage,Moy_Arrachement_pelade,Moy_Remblaiement
9.45455,CCBHS - RTE DE MOUTHIER_TRONROUT0000000064759754_0_TRONROUT0000000064759754_23,0.0,0.0,0.0,0.130435,0.0,0.0,0.565217,0.0
8.29851,CCBHS - RTE DE MOUTHIER_TRONROUT0000000243611752_0_TRONROUT0000000243611752_68,0.0,0.0597015,0.0746269,0.0,0.0,0.0,0.328358,0.0
6.25,CD27 - D167_TRONROUT0000000001268440_0_TRONROUT0000000001268440_246,0.0,0.00408163,0.00408163,0.0122449,0.00816326,0.0122449,0.110204,0.44489799999999996
9.45455,CD27 - D167_TRONROUT0000000001268465_0_TRONROUT0000000001268465_80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0909091
7.9537,CD27 - D167_TRONROUT0000002008399394_0_TRONROUT0000002008399394_217,0.0,0.00462963,0.00462963,0.0,0.0,0.0,0.023148099999999998,0.226852
7.401689999999999,CD27 - D64_TRONROUT0000000059664826_0_TRONROUT0000000059664826_191,0.0,0.0,0.0170455,0.0795455,0.0,0.0,0.0340909,0.0
5.59059,CD27 - D81_TRONROUT0000000001213954_0_TRONROUT0000000001213954_291,0.0,0.0238095,0.187075,0.010204099999999999,0.0,0.054421800000000006,0.217687,0.00680272
6.71212,CD27 - D81_TRONROUT0000000001213955_0_TRONROUT0000000001213955_66,0.0,0.0,0.061728399999999996,0.0,0.0,0.0,0.024691400000000002,0.0
3.7921300000000002,CD27 - D81_TRONROUT0000000001213972_0_TRONROUT0000000001213972_179,0.0,0.0393258,0.348315,0.050561800000000004,0.0,0.191011,0.21910100000000002,0.11235999999999999
4.3125,CD27 - D81_TRONROUT0000000330553920_0_TRONROUT0000000330553920_200,0.0,0.00990099,0.158416,0.0,0.0,0.15346500000000002,0.108911,0.0792079
3.89068,CD27 - D81_TRONROUT0000000330553920_200_TRONROUT0000000330553920_479,0.00358423,0.0107527,0.207885,0.0,0.0,0.114695,0.197133,0.0430108
7.5,CD27 - D93_TRONROUT0000000001166974_0_TRONROUT0000000001166974_78,0.012820500000000002,0.0,0.0,0.0,0.012820500000000002,0.0,0.12820499999999999,0.025641000000000004
6.7425,CD27 - D93_TRONROUT0000000001169864_0_TRONROUT0000000001169864_200,0.0,0.0,0.0746269,0.00995025,0.0,0.0,0.149254,0.0447761
8.88,CD27 - D93_TRONROUT0000000001169864_200_TRONROUT0000000001169864_400,0.005,0.065,0.19,0.005,0.005,0.0,0.08,0.08
8.3625,CD27 - D93_TRONROUT0000000001169864_400_TRONROUT0000000001169864_600,0.01,0.01,0.185,0.0,0.0,0.015,0.05,0.04
7.27,CD27 - D93_TRONROUT0000000001169864_600_TRONROUT0000000001169864_800,0.0,0.0,0.165,0.0,0.0,0.01,0.095,0.01
6.71,CD27 - D93_TRONROUT0000000001169864_800_TRONROUT0000000001169864_1000,0.0,0.19,0.11,0.0,0.005,0.0,0.11,0.015
6.6425,CD27 - D93_TRONROUT0000000001169864_1000_TRONROUT0000000001169864_1200,0.0,0.005,0.16,0.01,0.0,0.0,0.03,0.27
7.119910000000001,CD27 - D93_TRONROUT0000000001169864_1200_TRONROUT0000000001169864_1421,0.00452489,0.0180995,0.104072,0.0,0.0,0.0,0.0271493,0.113122
7.87975,CD27 - D93_TRONROUT0000000001171529_0_TRONROUT0000000001171529_91,0.0125,0.0,0.15,0.0,0.0,0.0,0.1,0.2
3.0,CD33 - D10_TRONROUT0000000051596082_0_TRONROUT0000000051596082_200,0.916256,0.0,0.300493,0.00492611,0.0,0.0,0.00492611,0.00492611
3.0,CD33 - D10_TRONROUT0000000051596082_200_TRONROUT0000000051596082_449,1.57831,0.00401606,0.0963855,0.00401606,0.0,0.0,0.0401606,0.00401606
4.5,CD33 - D10_TRONROUT0000000051596083_0_TRONROUT0000000051596083_145,1.1379299999999999,0.0,0.07586210000000002,0.0137931,0.0,0.0,0.0137931,0.0
7.692310000000001,CD33 - D10_TRONROUT0000000051596089_0_TRONROUT0000000051596089_53,0.277778,0.0185185,0.09259260000000001,0.037037,0.0,0.0,0.037037,0.0185185
6.0,CD33 - D10_TRONROUT0000000051596090_0_TRONROUT0000000051596090_142,1.9444400000000002,0.0,0.381944,0.013888900000000001,0.0,0.0,0.00694444,0.0
8.10345,CD33 - D10_TRONROUT0000000051596092_0_TRONROUT0000000051596092_58,0.730769,0.0,0.0576923,0.07692310000000001,0.0,0.0,0.0576923,0.0
7.5,CD33 - D10_TRONROUT0000000051596093_0_TRONROUT0000000051596093_21,0.055555600000000004,0.0,0.0,0.027777800000000002,0.0,0.0,0.333333,0.0
3.0,CD33 - D10_TRONROUT0000000051598128_0_TRONROUT0000000051598128_200,4.0495,0.0,0.054455399999999994,0.0,0.0,0.0,0.0247525,0.0
3.0,CD33 - D10_TRONROUT0000000051598128_200_TRONROUT0000000051598128_490,4.02422,0.0,0.148789,0.0,0.0,0.0,0.017301,0.0
7.5,CD33 - D10_TRONROUT0000000051598138_0_TRONROUT0000000051598138_17,4.23529,0.0,0.17647100000000002,0.0,0.0,0.0,0.0,0.0
4.5,CD33 - D10_TRONROUT0000000051598172_0_TRONROUT0000000051598172_245,2.67755,0.00408163,0.25306100000000004,0.00408163,0.0,0.0,0.0,0.0
3.0,CD33 - D10_TRONROUT0000000051598173_0_TRONROUT0000000051598173_204,1.62981,0.0,0.158654,0.0,0.0,0.0,0.0,0.0
3.23869,CD33 - D10_TRONROUT0000000051600217_0_TRONROUT0000000051600217_200,1.69458,0.00492611,0.5615760000000001,0.0147783,0.0,0.0,0.00492611,0.00492611
2.5,CD33 - D10_TRONROUT0000000051600217_200_TRONROUT0000000051600217_430,2.97297,0.0,0.0495495,0.0045045,0.0,0.0045045,0.00900901,0.0135135
8.75,CD33 - D10E8_TRONROUT0000000051596081_0_TRONROUT0000000051596081_25,0.173913,0.0,0.0869565,0.0,0.0,0.0,0.0,0.0
7.056960000000001,CD33 - D10E8_TRONROUT0000000051596085_0_TRONROUT0000000051596085_80,2.0875,0.0,0.0375,0.05,0.0,0.0,0.0125,0.0125
7.82609,CD33 - D10E8_TRONROUT0000000051596086_0_TRONROUT0000000051596086_24,0.708333,0.0,0.125,0.0,0.0,0.0,0.0,0.0
7.00667,CD33 - D10E8_TRONROUT0000000051596087_0_TRONROUT0000000051596087_76,0.8815790000000001,0.0,0.0263158,0.0,0.0,0.0,0.0,0.0
10.0,CD33 - D10E8_TRONROUT0000000051596088_0_TRONROUT0000000051596088_13,0.307692,0.0,0.0,0.0,0.0,0.0,0.0,0.153846
8.75,CD33 - D10E8_TRONROUT0000000051596091_0_TRONROUT0000000051596091_15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.54268,CD33 - D10E8_TRONROUT0000000051598127_0_TRONROUT0000000051598127_246,0.0,0.00813008,0.300813,0.0569106,0.0,0.00406504,0.0406504,0.00406504
8.0,CD33 - D10E8_TRONROUT0000000051598130_0_TRONROUT0000000051598130_56,1.54386,0.0,0.45614,0.368421,0.0,0.0,0.03508769999999999,0.0
7.514289999999999,CD33 - D10E8_TRONROUT0000000051598131_0_TRONROUT0000000051598131_36,0.0,0.0,0.611111,0.055555600000000004,0.0,0.0,0.0,0.0
9.468589999999999,CD33 - D10E8_TRONROUT0000000051598136_0_TRONROUT0000000051598136_192,0.0,0.0,0.284974,0.0207254,0.0,0.00518135,0.00518135,0.0103627
9.65455,CD33 - D10E8_TRONROUT0000000051598137_0_TRONROUT0000000051598137_221,0.07272730000000001,0.0,0.359091,0.0,0.0,0.0,0.08636360000000001,0.07272730000000001
9.27778,CD33 - D10E8_TRONROUT0000000051598139_0_TRONROUT0000000051598139_46,0.42222200000000004,0.0,0.288889,0.2,0.0,0.0,0.0222222,0.0
10.0,CD33 - D10E8_TRONROUT0000000051598140_0_TRONROUT0000000051598140_44,0.0,0.0,0.355556,0.08888889999999999,0.0,0.0,0.0444444,0.0222222
