NOTE,id,Arrachement pelade,Arrachement peignage,Arrachement plumage,Autres réparations,Faiencage grave,Faiencage significatif,Longitudinale grave,Longitudinale significatif,Pontage,Transversale grave,Transversale significatif,Réparation en BB
9.68,D10_PR13_627_PR13_827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0
6.41176,D10_PR13_827_PR13_972,0.331034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0413793,0.0
6.84302,D10_PR14_0_PR14_177,0.0960452,0.0,0.0,0.0,0.0,0.0,0.0,0.38983,0.0,0.0,0.079096,0.0
5.0,D10_PR14_177_PR14_377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.965,0.0,0.0,0.0,0.0
7.4525,D10_PR14_377_PR14_577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.435,0.155,0.0,0.0,0.0
7.45,D10_PR14_577_PR14_777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,0.0,0.0,0.0
9.8,D10_PR14_777_PR14_977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0
10.0,D10_PR14_977_PR14_1114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,D10_PR15_0_PR15_200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,D10_PR15_200_PR15_400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,D10_PR15_400_PR15_600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,D10_PR15_600_PR15_800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,D10_PR15_800_PR15_997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,D10_PR16_0_PR16_200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,D10_PR16_200_PR16_400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,D10_PR16_400_PR16_600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,D10_PR16_600_PR16_800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,D10_PR16_800_PR16_994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,D10_PR17_0_PR17_200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,D10_PR17_200_PR17_400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,D10_PR17_400_PR17_600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,D10_PR17_600_PR17_800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,D10_PR17_800_PR17_1001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.575,D10_PR18_0_PR18_200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.285,0.0,0.0,0.0,0.0
9.125,D10_PR18_200_PR18_400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175,0.0,0.0,0.0,0.0
10.0,D10_PR18_400_PR18_600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,D10_PR18_600_PR18_800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.58333,D10_PR18_800_PR18_908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8611110000000001,0.0,0.0,0.055555600000000004,0.0
5.11864,D10_PR19_0_PR19_110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.509091,0.0,0.0,0.054545500000000004,0.0
9.98,D10_PR19_110_PR19_310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
8.89,D10_PR19_310_PR19_510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.03,0.0
10.0,D10_PR19_510_PR19_710,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.42975,D10_PR19_710_PR19_996,0.0664336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.275,D10_PR20_0_PR20_200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.145,0.0,0.0,0.0,0.0
9.96,D10_PR20_200_PR20_400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0
9.365,D10_PR20_400_PR20_600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.205
6.475,D10_PR20_600_PR20_800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.705,0.0,0.0,0.0,0.0
8.71782,D10_PR20_800_PR20_1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23762399999999997,0.0,0.0,0.00990099,0.0247525
10.0,D10_PR21_0_PR21_200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,D10_PR21_200_PR21_400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,D10_PR21_400_PR21_600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.75,D10_PR21_600_PR21_800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0
10.0,D10_PR21_800_PR21_995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,D10_PR22_0_PR22_200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,D10_PR22_200_PR22_400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.325,D10_PR22_400_PR22_600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.535,0.0,0.0,0.0,0.0
7.775,D10_PR22_600_PR22_800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.445,0.0,0.0,0.0,0.0
10.0,D10_PR22_800_PR22_995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,D10_PR23_0_PR23_200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.415,D10_PR23_200_PR23_400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.195
8.305,D10_PR23_400_PR23_600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.565
8.32,D10_PR23_600_PR23_800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56
8.91457,D10_PR23_800_PR23_999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.361809
8.125,D10_PR24_0_PR24_200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.125
9.605,D10_PR24_200_PR24_400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.09
8.76,D10_PR24_400_PR24_600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.205
9.52,D10_PR24_600_PR24_800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16
8.5533,D10_PR24_800_PR24_997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48223299999999997
7.0,D10_PR25_0_PR25_200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7.81,D10_PR25_200_PR25_400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73
8.215,D10_PR25_400_PR25_600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.255,0.0,0.0,0.0,0.17
6.35,D10_PR25_600_PR25_800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0
7.194439999999999,D10_PR25_800_PR25_980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44444399999999995,0.0,0.0,0.0,0.194444
9.82,D10_PR26_0_PR26_200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06
10.0,D10_PR26_200_PR26_400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,D10_PR26_400_PR26_600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.99,D10_PR26_600_PR26_800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
9.899519999999999,D10_PR26_800_PR26_1009,0.0,0.0334928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.97,D10_PR27_0_PR27_200,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,D10_PR27_200_PR27_400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,D10_PR27_400_PR27_600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,D10_PR27_600_PR27_800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,D10_PR27_800_PR27_1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.985,D10_PR28_0_PR28_200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005
9.25,D10_PR28_200_PR28_400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
10.0,D10_PR28_400_PR28_600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
